StudentID,Age,Classe,HoursTotal_L1,Genre,Zone,Pretest,Final,Pretest_i,Final_i
527,10.0,T2,40,F,3,3,3,3,3
528,,T2,40,F,3,3,3,3,3
529,,T2,40,F,3,2,2,2,2
530,,T2,40,F,3,3,3,3,3
531,,T2,40,F,3,2,2,2,2
532,,T2,40,F,3,2,3,2,3
533,,T2,40,F,3,2,2,2,2
534,,T2,40,F,3,2,2,2,2
535,,T2,40,F,3,2,2,2,2
536,,T2,40,F,3,2,2,2,2
537,,T2,40,F,3,2,2,2,2
538,,T2,40,F,3,2,2,2,2
539,,T2,40,F,3,3,3,3,3
540,,T2,40,M,3,3,3,3,3
541,,T2,40,M,3,2,2,2,2
542,,T2,40,M,3,3,3,3,3
543,,T2,40,M,3,2,2,2,2
544,,T2,40,F,3,3,3,3,3
545,,T2,40,F,3,2,2,2,2
546,,T2,40,F,3,2,2,2,2
547,,T2,40,M,3,3,3,3,3
548,,T2,40,M,3,2,2,2,2
549,,T2,40,M,3,3,3,3,3
550,,T2,40,M,3,2,2,2,2
551,,T2,40,M,3,2,2,2,2
552,,T2,40,M,3,2,2,2,2
553,,T2,40,M,3,2,2,2,2
554,,T2,40,M,3,2,1,2,1
555,,T2,40,M,3,1,2,1,2
556,,T2,40,M,3,2,2,2,2
557,,T2,40,M,3,3,3,3,3
558,,T2,40,M,3,3,3,3,3
559,,T2,40,M,3,3,3,3,3
560,,T2,40,M,3,2,2,2,2
561,10.0,T2,40,F,3,2,2,2,2
562,9.0,T2,40,F,3,2,2,2,2
563,8.0,T2,40,F,3,3,3,3,3
564,9.0,T2,40,F,3,3,3,3,3
565,10.0,T2,40,F,3,2,2,2,2
566,10.0,T2,40,M,3,3,3,3,3
567,10.0,T2,40,F,3,4,4,4,4
568,8.0,T2,40,F,3,3,3,3,3
569,9.0,T2,40,F,3,3,3,3,3
570,10.0,T2,40,F,3,5,4,5,4
571,9.0,T2,40,F,3,3,3,3,3
572,9.0,T2,40,F,3,3,3,3,3
573,10.0,T2,40,F,3,2,2,2,2
574,11.0,T2,40,F,3,2,2,2,2
575,,T2,60,F,3,4,3,4,3
576,,T2,60,M,3,5,3,5,3
577,,T2,60,F,3,5,3,5,3
578,,T2,60,M,3,4,4,4,4
579,,T2,60,M,3,5,3,5,3
580,,T2,60,M,3,5,3,5,3
581,,T2,60,M,3,4,3,4,3
582,,T2,60,M,3,4,3,4,3
583,,T2,60,M,3,4,3,4,3
584,,T2,60,M,3,4,3,4,3
585,,T2,60,M,3,4,3,4,3
586,,T2,60,M,3,4,3,4,3
587,,T2,60,M,3,5,3,5,3
588,,T2,60,M,3,5,3,5,3
589,,T2,60,M,3,5,3,5,3
590,,T2,60,M,3,4,4,4,4
591,,T2,60,M,3,5,3,5,3
592,,T2,60,M,3,4,3,4,3
593,,T2,60,M,3,4,3,4,3
594,,T2,60,M,3,4,3,4,3
595,,T2,60,M,3,4,3,4,3
596,,T2,60,M,3,4,3,4,3
597,,T2,60,M,3,5,3,5,3
598,,T2,60,M,3,4,3,4,3
599,,T2,60,M,3,4,3,4,3
600,,T2,60,F,3,5,3,5,3
601,,T5,20,F,3,5,5,5,5
602,,T5,20,F,3,5,5,5,5
603,,T5,20,F,3,5,5,5,5
604,,T5,20,F,3,5,5,5,5
605,,T5,20,M,3,5,5,5,5
606,,T5,20,F,3,5,5,5,5
607,,T5,20,F,3,5,5,5,5
608,,T5,20,F,3,5,5,5,5
609,,T5,20,M,3,5,5,5,5
610,,T5,20,M,3,5,5,5,5
611,,T5,20,F,3,5,5,5,5
612,,T5,20,M,3,5,5,5,5
613,,T5,20,F,3,5,5,5,5
614,,T5,20,M,3,5,5,5,5
615,,T5,20,F,3,5,5,5,5
616,,T5,20,F,3,5,5,5,5
617,,T5,20,F,3,5,5,5,5
618,,T5,20,F,3,5,5,5,5
619,,T5,20,F,3,5,5,5,5
620,,T5,20,F,3,5,5,5,5
621,,T5,20,M,3,5,5,5,5
622,,T5,20,F,3,5,5,5,5
623,,T5,20,M,3,5,5,5,5
624,,T5,20,F,3,5,5,5,5
625,,T5,20,F,3,5,5,5,5
626,,T5,20,F,3,5,5,5,5
627,,T5,20,F,3,5,5,5,5
628,,T5,20,M,3,5,5,5,5
629,,T5,20,F,3,5,5,5,5
630,,T5,20,F,3,5,5,5,5
631,,T5,20,F,3,5,5,5,5
632,,T5,20,F,3,5,5,5,5
633,,T3,20,F,3,4,4,4,4
634,12.0,T4,20,F,3,5,5,5,5
635,12.0,T1,20,F,3,5,5,5,5
636,13.0,T2,20,F,3,5,5,5,5
637,12.0,T3,20,F,3,5,5,5,5
638,13.0,T4,20,F,3,5,5,5,5
639,11.0,T1,20,F,3,5,5,5,5
640,10.0,T2,20,M,3,4,5,4,5
641,12.0,T3,20,M,3,4,5,4,5
642,11.0,T4,20,M,3,4,5,4,5
643,12.0,T1,20,M,3,4,4,4,4
644,13.0,T2,20,F,3,5,5,5,5
645,14.0,T3,20,F,3,5,5,5,5
646,13.0,T4,20,F,3,4,5,4,5
647,11.0,T1,20,M,3,5,5,5,5
648,13.0,T2,20,M,3,4,4,4,4
649,11.0,T3,20,M,3,5,5,5,5
650,12.0,T4,20,M,3,4,5,4,5
651,15.0,T1,20,M,3,4,4,4,4
652,12.0,T2,20,F,3,5,5,5,5
653,13.0,T3,20,M,3,5,4,5,4
654,13.0,T4,20,F,3,5,5,5,5
655,11.0,T1,20,M,3,5,5,5,5
656,12.0,T2,20,F,3,5,5,5,5
657,11.0,T3,20,F,3,5,5,5,5
658,14.0,T4,20,F,3,5,5,5,5
659,13.0,T1,20,F,3,5,4,5,4
660,14.0,T2,20,F,3,5,5,5,5
661,11.0,T3,20,M,3,5,5,5,5
662,14.0,T4,20,M,3,5,5,5,5
663,14.0,T5,20,F,3,5,5,5,5
664,14.0,T5,20,F,3,5,5,5,5
665,12.0,T5,20,F,3,5,5,5,5
666,11.0,T5,20,F,3,5,5,5,5
667,16.0,T5,20,F,3,5,5,5,5
668,13.0,T5,20,F,3,5,5,5,5
669,9.0,T5,20,F,3,5,5,5,5
670,11.0,T5,20,F,3,5,5,5,5
671,12.0,T5,20,M,3,5,5,5,5
672,9.0,T5,20,F,3,5,5,5,5
673,11.0,T5,20,M,3,5,5,5,5
674,12.0,T5,20,M,3,5,5,5,5
675,12.0,T5,20,M,3,5,5,5,5
676,13.0,T5,20,M,3,5,5,5,5
677,13.0,T5,20,F,3,5,5,5,5
678,13.0,T5,20,F,3,5,5,5,5
679,10.0,T5,20,F,3,4,5,4,5
680,10.0,T5,20,F,3,4,5,4,5
681,12.0,T5,20,F,3,4,5,4,5
682,12.0,T5,20,F,3,4,5,4,5
683,14.0,T5,20,F,3,4,5,4,5
684,12.0,T5,20,F,3,5,5,5,5
685,10.0,T5,20,M,3,5,5,5,5
686,13.0,T5,20,M,3,4,5,4,5
687,13.0,T5,20,M,3,4,5,4,5
688,13.0,T5,20,M,3,5,5,5,5
689,11.0,T5,20,M,3,5,5,5,5
690,15.0,T5,20,M,3,4,5,4,5
691,11.0,T5,20,M,3,4,5,4,5
692,10.0,T3,20,F,3,5,4,5,4
693,,T3,20,F,3,5,5,5,5
694,12.0,T3,20,F,3,4,4,4,4
695,12.0,T3,20,F,3,5,4,5,4
696,10.0,T3,20,F,3,4,4,4,4
697,11.0,T3,20,F,3,4,4,4,4
698,10.0,T3,20,F,3,4,4,4,4
699,9.0,T3,20,F,3,4,4,4,4
700,10.0,T3,20,F,3,4,4,4,4
701,10.0,T3,20,F,3,5,4,5,4
702,9.0,T3,20,F,3,4,4,4,4
703,10.0,T3,20,F,3,5,4,5,4
704,10.0,T3,20,F,3,5,4,5,4
705,8.0,T3,20,F,3,5,4,5,4
706,,T3,20,F,3,5,4,5,4
707,10.0,T3,20,F,3,5,4,5,4
708,12.0,T3,20,F,3,5,4,5,4
709,,T3,20,F,3,5,4,5,4
710,8.0,T3,20,F,3,4,4,4,4
711,10.0,T3,20,F,3,4,4,4,4
712,8.0,T3,20,F,3,4,4,4,4
713,13.0,T3,20,F,3,4,4,4,4
714,8.0,T3,20,F,3,5,4,5,4
715,8.0,T3,20,F,3,4,4,4,4
716,12.0,T3,20,F,3,5,4,5,4
717,8.0,T3,20,F,3,5,4,5,4
718,8.0,T3,20,F,3,5,4,5,4
719,14.0,T3,20,F,3,4,4,4,4
720,11.0,T3,20,F,3,5,4,5,4
721,11.0,T3,20,F,3,5,4,5,4
722,9.0,T2,20,M,3,4,3,4,3
723,11.0,T2,20,M,3,4,3,4,3
724,8.0,T2,20,M,3,4,4,4,4
725,8.0,T2,20,M,3,4,4,4,4
726,8.0,T2,20,M,3,4,4,4,4
727,8.0,T2,20,M,3,4,3,4,3
728,8.0,T2,20,M,3,4,3,4,3
729,8.0,T2,20,M,3,4,3,4,3
730,8.0,T2,20,M,3,4,3,4,3
731,10.0,T2,20,M,3,4,3,4,3
732,10.0,T2,20,M,3,4,3,4,3
733,9.0,T2,20,M,3,4,3,4,3
734,10.0,T2,20,M,3,4,3,4,3
735,9.0,T2,20,M,3,4,3,4,3
736,9.0,T2,20,M,3,4,5,4,5
737,10.0,T2,20,M,3,4,5,4,5
738,10.0,T2,20,M,3,4,5,4,5
739,13.0,T2,20,M,3,4,4,4,4
740,10.0,T2,20,M,3,5,5,5,5
741,10.0,T2,20,M,3,4,3,4,3
742,10.0,T2,20,M,3,5,3,5,3
743,10.0,T2,20,M,3,4,3,4,3
744,12.0,T2,20,M,3,4,3,4,3
745,10.0,T2,20,M,3,4,3,4,3
746,15.0,T2,20,M,3,4,5,4,5
747,10.0,T2,20,M,3,4,5,4,5
748,9.0,T2,20,M,3,4,5,4,5
749,11.0,T2,20,M,3,4,3,4,3
750,10.0,T2,20,M,3,4,3,4,3
751,9.0,T2,20,M,3,4,3,4,3
752,10.0,T2,20,M,3,4,3,4,3
753,10.0,T2,20,M,3,4,3,4,3
754,9.0,T2,20,M,3,4,3,4,3
755,10.0,T2,20,M,3,4,3,4,3
756,9.0,T2,20,M,3,4,5,4,5
757,10.0,T2,20,M,3,4,4,4,4
758,10.0,T2,20,M,3,4,3,4,3
759,9.0,T2,20,M,3,4,3,4,3
760,10.0,T2,20,M,3,4,3,4,3
761,8.0,T2,20,M,3,4,3,4,3
762,8.0,T2,20,M,3,4,3,4,3
763,7.0,T2,20,M,3,4,3,4,3
764,9.0,T2,20,M,3,4,3,4,3
765,8.0,T2,20,M,3,4,4,4,4
766,9.0,T2,20,M,3,4,5,4,5
767,9.0,T2,20,M,3,4,5,4,5
768,8.0,T2,20,M,3,4,4,4,4
769,9.0,T2,20,M,3,4,3,4,3
770,11.0,T2,20,M,3,4,3,4,3
771,9.0,T2,20,M,3,4,3,4,3
772,9.0,T2,20,M,3,4,3,4,3
773,8.0,T2,20,F,3,4,4,4,4
774,11.0,T2,20,F,3,4,4,4,4
775,9.0,T2,20,F,3,4,5,4,5
776,10.0,T2,20,F,3,4,5,4,5
777,11.0,T2,20,F,3,4,3,4,3
778,9.0,T2,20,F,3,4,3,4,3
779,9.0,T2,20,F,3,4,3,4,3
780,8.0,T2,20,F,3,4,3,4,3
781,11.0,T2,20,F,3,4,3,4,3
782,9.0,T2,20,F,3,4,5,4,5
